POC ID,POC Name,Won POC Count,WON POC est. HL,FC acc rate,WON POC FC HL,Baseline Nov 23 – Oct 24,LOST POCs,LOST POCs HL,NET NEW POCs,NET NEW POC HL,NET CHURN Rate,Order Classification
29147861,S-CAFE CAFE-EISDIELE,1,20,,,,,,1,,,One Time Order
29157447,MIYABI SUSHI,1,25,,,,,,1,,,One Time Order
29168396,BLOCKED HADLEYS,1,6,,,,,,1,,,One Time Order
29174003,MACEDONIA,1,20,,,1,,,1,,,One Time Order
29176200,HIDDEN BOULEVARD BAR,1,40,,,,,,1,,,One Time Order
29177793,FAUSTFOOD,1,8,,,2,,,1,,,One Time Order
29184006,SCHEINBAR,1,20,,,,,,1,,,One Time Order
29184613,LITTLE CREATURES,1,50,,,,,,1,,,One Time Order
29185331,PICCADILLIE,1,20,,,,,,1,,,One Time Order
29185388,TINA´S,1,20,,,,,,1,,,One Time Order
29188849,SCHLAPPEN,1,30,,,1,1,3,0,-3.0999999999999996,-298.1%,One Time Order
29190068,CAFE ELBTERRASSEN,1,160,,,,,,1,,,One Time Order
29190331,CAFEBAR COCO,1,70,,,0,,,1,,,One Time Order
29190600,STADER HOF,1,20,,,,,,1,,,One Time Order
29192972,EXIL,1,20,,,,,,1,,,One Time Order
29194198,HOTEL-RESTAURANT SCHMACHTENDORF,1,7,,,,,,1,,,One Time Order
29197009,RESTAURANT ARTEMIS,1,20,,,5,,,1,,,One Time Order
29197296,NISCHE,1,25,,,,,,1,,,One Time Order
29197358,SAI RAM INDISCHE SPEZIALITÄTEN,1,50,,,2,,,1,,,One Time Order
29197382,HOBELBANK,1,25,,,,,,1,,,One Time Order
29198045,PEPPERMINT PAVILLON,1,80,,,,,,1,,,One Time Order
29198451,PESTALOZZI-KLAUSE,1,20,,,,,,1,,,One Time Order
29198913,SPORTHEIM TAPPENBECK,1,50,,,,,,1,,,One Time Order
29200322,BAYERNSTUBE,1,35,,,,,,1,,,One Time Order
29205749,DUKE ZUM BÄREN,1,20,,,,,,1,,,One Time Order
29206030,ZUR WINDROSE,1,20,,,,,,1,,,One Time Order
29209417,GÄSTEHAUS SPIEGELSBERGE,1,40,,,,,,1,,,One Time Order
29210048,AUSSCHANKWAGEN NORDMANN,1,15,,,6,,,1,,,One Time Order
29214101,EUSEBIA,1,32,,,,,,1,,,One Time Order
29222629,VEREINSHEIM VFL RÖTGESBÜTTEL,1,30,,,,,,1,,,One Time Order
29224146,MOON BAR,1,45,,,,,,1,,,One Time Order
29228345,HOTEL ZUR POST,1,40,,,,,,1,,,One Time Order
29229808,BAR BRASSERIE CASSIS,1,20,,,0,,,1,,,One Time Order
29231598,LA PIAZZA NANDLSTADT,1,30,,,,,,1,,,One Time Order
29233694,LA FRAGUA,1,30,,,,,,1,,,One Time Order
29234000,ZUM MALBERG,1,10,,,,,,1,,,One Time Order
29237417,DIE ENTE,1,40,,,1,1,2,0,-1.5900000000000003,-125.2%,One Time Order
29238978,KINGSTON,1,25,,,,,,1,,,One Time Order
29239193,LAGO BAR,1,25,,,0,,,1,,,One Time Order
29240727,TASSILOGARTEN,1,180,,,26,1,97,0,-96.89399999999998,-373.0%,One Time Order
29241209,DER GRIECHE,1,175,,,,,,1,,,One Time Order
29242723,ADAGIO,1,60,,,12,1,37,0,-37.47,-307.4%,One Time Order
