PBI,Excel,Lookup,Comments,Lookup
29147861,29290143,#N/A,Won date is Dec 23,29147861
29157447,29182133,29182133,,29157447
29168396,29243775,#N/A,Lost in Comm BI,#N/A
29174003,40147325,40147325,,29174003
29176200,40141904,40141904,,#N/A
29177793,40148458,#N/A,POC not present in Comm BI,#N/A
29184006,40147630,40147630,,29184006
29184613,29271498,#N/A,Blank date,29184613
29185331,40148399,#N/A,Lost in Comm BI,29185331
29185388,40142176,40142176,,29185388
29188849,40126931,40126931,,29188849
29190068,29265356,29265356,,29190068
29190331,40148185,40148185,,29190331
29190600,40148156,40148156,,#N/A
29192972,40136800,40136800,,29192972
29194198,40143154,40143154,,#N/A
29197009,40053704,40053704,,29197009
29197296,40142248,40142248,,29197296
29197358,40148571,40148571,,29197358
29197382,29360146,29360146,,29197382
29198045,29647644,29647644,,29198045
29198451,40146567,40146567,,29198451
29198913,29267732,29267732,,29198913
29200322,40148716,40148716,,29200322
29205749,40149800,40149800,,29205749
29206030,40148975,40148975,,29206030
29209417,40149442,40149442,,#N/A
29210048,40147451,#N/A,POC not present in Comm BI,#N/A
29214101,40146422,40146422,,29214101
29222629,29804632,29804632,,29222629
29224146,29279932,29279932,,#N/A
29228345,40146089,40146089,,#N/A
29229808,40147729,40147729,,29229808
29231598,40148744,40148744,,29231598
29233694,40149418,40149418,,29233694
29234000,29273827,29273827,,#N/A
29237417,40148181,40148181,,29237417
29238978,40149474,40149474,,29238978
29239193,29377424,29377424,,29239193
29240727,40097050,40097050,,#N/A
29241209,29983400,29983400,,29241209
29242723,40149341,40149341,,#N/A
29243222,40148175,40148175,,29243222
29250692,40148635,40148635,,29250692
29254382,40149820,40149820,,29254382
29254708,29421858,29421858,,29254708
29256858,29617726,29617726,,29256858
29259169,40148717,40148717,,29259169
29260407,40146821,40146821,,29260407
29260735,40148875,40148875,,29260735
29263852,40148544,40148544,,29263852
29265356,40148641,40148641,,29265356
29265986,40145264,40145264,,#N/A
29266056,29559690,29559690,,29266056
29266958,40145135,40145135,,29266958
29267554,29526683,29526683,,29267554
29268344,29263852,29263852,,29268344
29269888,29970067,#N/A,Blank date,29269888
29271911,29143462,#N/A,Blank date,29271911
29272108,29651661,29651661,,29272108
29276760,29521118,29521118,,29276760
29278828,40148478,40148478,,#N/A
29278837,29548672,29548672,,#N/A
29280793,40148119,40148119,,29280793
29280796,29373873,29373873,,29280796
29281343,29256562,29256562,,29281343
29282160,40148546,40148546,,29282160
29282788,40148825,40148825,,#N/A
29284998,29632568,29632568,,#N/A
29286254,40149370,40149370,,29286254
29290539,29495081,29495081,,29290539
29291161,40148700,40148700,,29291161
29291519,40148184,40148184,,29291519
29291839,29754131,29754131,,29291839
29295885,40149456,40149456,,29295885
29296025,40149457,40149457,,#N/A
29320747,40148453,40148453,,#N/A
29322996,29609828,29609828,,#N/A
29326912,29619489,29619489,,29326912
29327326,40149455,40149455,,29327326
29329582,40148869,40148869,,29329582
29330071,29491534,29491534,,29330071
29347387,29643292,29643292,,29347387
29365752,29197382,29197382,,#N/A
29370066,29192979,29192979,,29370066
29374389,29729753,29729753,,#N/A
29377424,40147442,40147442,,29377424
29386635,40149427,40149427,,#N/A
29417707,40149428,40149428,,29417707
29420764,29259169,29259169,,29420764
29427845,29254003,29254003,,29427845
29429260,29174003,29174003,,#N/A
29447467,29795012,29795012,,29447467
29456897,29563889,29563889,,29456897
29456904,40132340,40132340,,29456904
29468492,40148871,40148871,,29468492
29470609,29276199,29276199,,29470609
29470773,29524978,29524978,,#N/A
29472125,40148461,40148461,,29472125
29477141,29220942,#N/A,POC not present in Sellfi,29477141
29477967,40148966,40148966,,29477967
29479086,29220942,#N/A,POC not present in Sellfi,29479086
29483062,40148169,40148169,,29483062
29483625,40134299,40134299,,#N/A
29485426,29635943,#N/A,Blank date,29485426
29495081,29205749,29205749,,29495081
29507649,40149527,40149527,,29507649
29512075,40149364,40149364,,29512075
29518062,40149685,40149685,,29518062
29521118,29250783,29250783,,29521118
29526683,29197358,29197358,,29526683
29527795,40147468,40147468,,#N/A
29529818,29477967,29477967,,29529818
29533608,29758189,#N/A,No Status in Sellfi,29533608
29534478,29616786,29616786,,#N/A
29535147,40147376,40147376,,29535147
29539752,29754969,29754969,,29539752
29547275,29292952,29292952,,#N/A
29559690,40148745,40148745,,29559690
29567708,40149799,40149799,,29567708
29568411,29282160,29282160,,29568411
29574433,29184908,#N/A,POC not present in Sellfi,#N/A
29575309,29260735,29260735,,29575309
29579257,40148789,40148789,,29579257
29579264,40148792,40148792,,29579264
29579395,29616078,#N/A,Won date is Jan 24,29579395
29595022,40146514,#N/A,Won date is Jan 24,29595022
29597371,29726001,29726001,,29597371
29609828,40148793,40148793,,29609828
29616786,40148795,40148795,,29616786
29617726,29746528,29746528,,29617726
29627267,29179548,29179548,,29627267
29634259,29206030,29206030,,29634259
29634700,29595022,29595022,,29634700
29643292,29197009,29197009,,29643292
29645910,29980235,29980235,,29645910
29650584,29634728,29634728,,29650584
29651643,29535147,29535147,,#N/A
29669173,29722697,29722697,,29669173
29679870,29477141,29477141,,#N/A
29695306,29149167,29149167,,29695306
29722697,29512075,29512075,,29722697
29723999,40151417,40151417,,#N/A
29725079,29206287,29206287,,29725079
29726001,40057470,40057470,,29726001
29727583,40151100,40151100,,29727583
29727922,40151774,40151774,,29727922
29744264,40149754,40149754,,29744264
29746328,29597371,29597371,,29746328
29746521,40151280,40151280,,#N/A
29746528,29184613,29184613,,29746528
29748567,29421200,29421200,,29748567
29752370,40075975,40075975,,29752370
29754131,40147645,40147645,,29754131
29754969,40149555,40149555,,29754969
29756118,40149556,40149556,,29756118
29759479,40151723,40151723,,29759479
29759805,40151921,40151921,,29759805
29775736,29525053,29525053,,29775736
29787516,40151839,40151839,,#N/A
29791801,40148676,40148676,,29791801
29794564,29759479,29759479,,29794564
29796718,40149438,40149438,,29796718
29797225,29645910,29645910,,#N/A
29801421,29222629,29222629,,29801421
29805199,40151538,40151538,,29805199
29833365,40148139,40148139,,#N/A
29835693,29271911,29271911,,29835693
29955057,29363716,29363716,,29955057
29955420,40150699,40150699,,29955420
29957143,29748622,29748622,,29957143
29957555,40151587,40151587,,29957555
29957623,40151176,40151176,,29957623
29977664,40151279,40151279,,#N/A
29979380,40151650,40151650,,29979380
29980235,40151801,40151801,,29980235
29982824,29286254,29286254,,#N/A
29985556,29796718,29796718,,#N/A
29988357,40149753,40149753,,29988357
40016527,40150698,40150698,,40016527
40020706,40151271,40151271,,40020706
40023374,40151574,40151574,,40023374
40023432,29575309,29575309,,40023432
40023808,29752766,29752766,,40023808
40024519,40151330,40151330,,#N/A
40025517,40151347,40151347,,40025517
40027270,40151799,40151799,,40027270
40057705,40115824,40115824,,40057705
40071101,40150201,40150201,,40071101
40094439,29205328,29205328,,40094439
40095784,29695306,29695306,,#N/A
40099338,29794564,29794564,,40099338
40099516,40151343,40151343,,40099516
40103477,40151344,40151344,,#N/A
40108679,40151760,40151760,,40108679
40110974,40151965,40151965,,#N/A
40115831,29634580,29634580,,40115831
40122681,40149506,40149506,,40122681
40124252,40151549,40151549,,40124252
40126708,29568411,29568411,,40126708
40126777,29210832,29210832,,#N/A
40129302,29275764,29275764,,40129302
40131028,40025517,40025517,,40131028
40131875,40026989,40026989,,#N/A
40131896,40149241,40149241,,#N/A
40131994,40151302,40151302,,#N/A
40132340,40151303,40151303,,40132340
40132574,40151304,40151304,,40132574
40133126,40151654,40151654,,#N/A
40134518,29266660,29266660,,40134518
40134801,29605130,29605130,,40134801
40137438,40143499,40143499,,40137438
40139058,40151578,40151578,,40139058
40140470,40151579,40151579,,40140470
40140658,40126708,40126708,,40140658
40142145,40151353,40151353,,40142145
40142630,40151416,40151416,,40142630
40142780,40151539,40151539,,40142780
40143489,40151692,40151692,,40143489
40143499,40151830,40151830,,40143499
40144538,40151765,40151765,,#N/A
